"","unitid","instnm","semester","quarter","year"
"1",100654,"ALABAMA A&M UNIVERSITY",1,0,1991
"2",100654,"ALABAMA A&M UNIVERSITY",1,0,1992
"3",100654,"ALABAMA A & M UNIVERSITY",1,0,1993
"4",100654,"ALABAMA A & M UNIVERSITY",1,0,1995
"5",100654,"ALABAMA A & M UNIVERSITY",1,0,1996
"6",100654,"ALABAMA A & M UNIVERSITY",1,0,1997
"7",100654,"ALABAMA A & M UNIVERSITY",1,0,1998
"8",100654,"ALABAMA A & M UNIVERSITY",1,0,1999
"9",100654,"ALABAMA A & M UNIVERSITY",1,0,2000
"10",100654,"ALABAMA A & M UNIVERSITY",1,0,2001
"11",100654,"ALABAMA A & M UNIVERSITY",1,0,2002
"12",100654,"ALABAMA A & M UNIVERSITY",1,0,2003
"13",100654,"ALABAMA A & M UNIVERSITY",1,0,2004
"14",100654,"Alabama A & M University",1,0,2005
"15",100654,"Alabama A & M University",1,0,2006
"16",100654,"Alabama A & M University",1,0,2007
"17",100654,"Alabama A & M University",1,0,2008
"18",100654,"Alabama A & M University",1,0,2009
"19",100654,"Alabama A & M University",1,0,2010
"20",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1991
"21",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1992
"22",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1993
"23",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1995
"24",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1996
"25",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1997
"26",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1998
"27",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,1999
"28",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",0,1,2000
"29",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,0,2001
"30",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,0,2002
"31",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,0,2003
"32",100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,0,2004
"33",100663,"University of Alabama at Birmingham",1,0,2005
"34",100663,"University of Alabama at Birmingham",1,0,2006
"35",100663,"University of Alabama at Birmingham",1,0,2007
